"N_Protocol" "Status" "Species" "Branch_N" "Length" "N_Thorns" "N_Twigs" "Longest_thorn" "N_browsed_Twigs" "Branch_esc" "BDI" "Thorn_density"
19 "Escaped" "Prunus" 7 10 0 2 NA 1 "no" 0.2 0
19 "Escaped" "Prunus" 8 10 0 2 NA 1 "no" 0.2 0
19 "Escaped" "Prunus" 9 10 1 8 4 8 "no" 0.8 0.1
19 "Escaped" "Prunus" 10 10 2 6 4.1 1 "no" 0.6 0.2
19 "Escaped" "Prunus" 11 10 0 1 NA 0 "no" 0.1 0
19 "Escaped" "Prunus" 12 10 1 2 2.2 0 "no" 0.2 0.1
19 "Escaped" "Prunus" 1 10 0 5 NA 1 "yes" 0.5 0
19 "Escaped" "Prunus" 2 10 0 1 NA 1 "yes" 0.1 0
19 "Escaped" "Prunus" 3 10 0 1 NA 1 "yes" 0.1 0
19 "Escaped" "Prunus" 4 10 0 3 NA 0 "yes" 0.3 0
19 "Escaped" "Prunus" 5 10 0 3 NA 1 "yes" 0.3 0
19 "Escaped" "Prunus" 6 10 0 4 NA 0 "yes" 0.4 0
19 "Escaped" "Prunus" 7 10 0 1 NA 0 "yes" 0.1 0
19 "Escaped" "Prunus" 8 10 0 1 NA 0 "yes" 0.1 0
19 "Escaped" "Prunus" 9 NA NA NA NA NA "" NA NA
19 "Escaped" "Prunus" 10 10 0 3 NA 1 "yes" 0.3 0
19 "Escaped" "Prunus" 11 NA NA NA NA NA "" NA NA
19 "Escaped" "Prunus" 12 NA NA NA NA NA "" NA NA
20 "Escaped" "Malus" 1 10 0 10 NA 3 "no" 1 0
20 "Escaped" "Malus" 2 9 2 4 2 1 "no" 0.444444444444444 0.222222222222222
20 "Escaped" "Malus" 3 10 0 2 NA 0 "no" 0.2 0
20 "Escaped" "Malus" 4 7 0 3 NA 1 "no" 0.428571428571429 0
20 "Escaped" "Malus" 5 10 1 5 1.5 1 "no" 0.5 0.1
20 "Escaped" "Malus" 6 10 3 8 2.5 0 "no" 0.8 0.3
20 "Escaped" "Malus" 7 10 0 11 NA 0 "no" 1.1 0
20 "Escaped" "Malus" 8 10 1 7 1.8 2 "no" 0.7 0.1
20 "Escaped" "Malus" 9 10 0 5 NA 0 "no" 0.5 0
20 "Escaped" "Malus" 10 10 0 9 NA 0 "no" 0.9 0
20 "Escaped" "Malus" 11 10 0 12 NA 1 "no" 1.2 0
20 "Escaped" "Malus" 12 10 0 6 NA 2 "no" 0.6 0
20 "Escaped" "Malus" 1 10 0 7 NA 0 "yes" 0.7 0
